# Page 156 Column 1	
pablm	pabulum
pr-sak	prosaic
pr-senem	proscenium
pr-skr	proscribe
pr-skrsh	proscription
pr-skrv	proscriptive
pr-sk	prosecute
pr-sksh	prosecution
pr-sk^r	prosecutor
prseli	proselyte
prosde	prosody
prsp	prospect
prsp^v	prospective
prsp^r	prospector
prspus	prospectus
prspr	prosper
prspr^t	prospered
prsp^r	prosperity
prsprus	prosperous
	
# Page 176 Column 1	
prstra	prostrate
prstrash	prostration
protagnes	protagonist
protek	protect
proteksh	protection
protekshes	protectionist
protekv	protective
protekr	protector
protekra	protectorate
nprotekt	unprotected
protsha	protege
proten	protein
protes	protest
protes^nt	Protestant
protes^ntsm	Protestantism
protessh	protestation
protokol	protocol
protplasm	protoplasm
prototip	prototype
protox)id	protoxide
protrk	protract
protrksh	protraction
protrkv	protractive
protrk^r	protractor
protrud	protrude
	
# Page 176 Column 2	
protrsh	protrusion
protrusv	protrusive
protb	protuberance
protb	protuberant
prau	proud
praur	prouder
praust	proudest
praue	proudly
prv	prove
prvb	provable
prvd	proved
prvn	proven
prverb	proverb
prverbl	proverbial
prvi	provide
mprvdn	improvident
prvdns	providence
prvdn	provident
prvdnsh	providential
prvir	provider
prvesh	provision
prveshl	provisional
prvens	province
prvensh	provincial
prvenshsm	provincialism
	
# Page 176 Column 3	
prvensh^l	provinciality
prvensha|	provincially
prviso	proviso
prvisre	provisory
prvk	provoke
prvksh	provocation
prvktv	provocative
prvos	provost
prx	proximate
aprx	approximate
prx^mt	proximity
prx	proximo
prxe	proxy
prudn	prudent
mprudne	imprudently
prudns	prudence
prudnsh	prudential
prrent	prurient
prshn	Prussian
sam	psalm
sames	psalmist
samode	psalmody
sudnem	pseudonym
sikek	psychic
sikitres	psychiatrist
	
# Page 177 Column 1	
sikitre	psychiatry
sik^k	psychical
sikanalss	psychoanalysis
sik^o(	psychology
sikopthek	psychopathic
tomn	ptomaine
pb	public
pbsh	publication
pbss	publicist
pb^s	publicity
pbe	publicly
pb	publish
pb^r	publisher
pukr	pucker
pud'	pudding
pudl	puddle
pe_blo	pueblo
pujl-sm	pugilism
pujles	pugilist
pujl^st	pugilistic
pgn^s	pugnacity
pgnash	pugnacious
peusnt	puissant
peusns	puissance
pule	pullet
	
# Page 177 Column 2	
plmnre	pulmonary
plmote~	pulmotor
plpt	pulpit
pls	pulse
plsa	pulsate
plsash	pulsation
plsa^r	pulsator
plsa^re	pulsatory
plvriz	pulverize
plvrezash	pulverization
plvriser	pulverizer
pmes	pumice
pmp	pump
pmpken	pumpkin
pnch	punch
pnkteleo	punctilio
pnktel	punctilious
pnk	punctual
pnk^l	punctuality
pnke	punctually
npnk	unpunctual
pnkeut	punctuate
pnkeush	punctuation
pnktr	puncture
pnjnt	pungent
	
# Page 177 Column 3	
pnjse	pungency
pnsh	punish
pnshb	punishable
pnsht	punished
pnshm	punishment
peunetv	punitive
peune	puny
ppl	pupil
prblind	purblind
prch	purchase
prch^r	purchaser
peu	pure
mpeu	impure
peue	purely
peu^f	purification
peufr	purifier
peuf	purify
peusm	purism
peust	purist
peutn	Puritan
p^r	purity
prj	purge
prgatre	purgatory
prlu	purlieu
prloen	purloin
	
# Page 178 Column 1	
prloend	purloined
prpl	purple
prplsh	purplish
prpot	purport
prpotd	purported
prp	purpose
prp^f	purposeful
prp^l	purposeless
prpe	purposely
prs	purse
prser	purser
pr-su	pursue
pr-suns	pursuance
pr-sunt	pursuant
	
# Page 178 Column 2	
pr-sud	pursued
pr-sut	pursuit
peurlent	purulent
prva	purvey
prvans	purveyance
prvar	purveyor
prveu	purview
peuslan^mt	pusillanimity
peuslan	pusillanimous
pustl	pustule
p	put
peutatv	putative
peutrf	putrefy
peutrfaksh	putrefaction
	
# Page 178 Column 3	
peutrfakv	putrefactive
peutresns	putrescence
peutresnt	putrescent
peutred	putrid
pute	putty
puzl	puzzle
pgme	pygmy
pira&'	pyorrhea
pe~med	pyramid
pe~medl	pyramidal
pir	pyre
pir^oe	pyrography
piromete~	pyrometer
pirotek	pyrotechnics
