# Page 26 Column 1	
kabl	cabal
n-krjm	encouragement
kurer	courier
krs	course
kkrs	concourse
krser	courser
krss	courses
dskrs	discourse
dskrsv	discursive
rekrs	recourse
kot	court
kotd	courted
kot'us	courthouse
kotenes	courtliness
kot-marsh	court-martial
kota~d	courtyard
ke~tus	courteous
ke~tse	courtesy
kusn	cousin
kuvn	covenant
kv	cover
kvle	coverlet
dskv	discover
dskve	discovery
	
# Page 45 Column 3	
rekv	recover
n-kv	uncover
kve~t	covert
kuvetus	covetous
kaud	coward
kaudes	cowardice
kauboe	cowboy
kaul	cowl
koxan	coxswain
krakr	cracker
kranbere	cranberry
kranem	cranium
kranl	cranial
kraze-nes	craziness
kra&'t	create
kra&'td	created
kra&'sh	creation
kra&'tv	creative
kra&'te~	creator
kretr	creature
rekra&'sh	recreation
kredns	credence
krednsh	credential
kredb	credible
kred^b	credibility
	
# Page 46 Column 1	
kred^l	credulity
kredlus	credulous
n-kredb	incredible
n-kred^l	incredulity
n-kredlus	incredulous
kre	credit
kre^b	creditable
kre^r	creditor
kres	credits
dskre^b	discreditable
kremat	cremate
kremsh	cremation
krematre	crematory
kreol	creole
kresot	creosote
kreshndo	crescendo
kresnt	crescent
krestfon	crestfallen
kretn	cretonne
kreves	crevice
kru	crew
krebj	cribbage
kremnl	criminal
kremsn	crimson
krenlen	crinoline
	
# Page 46 Column 2	
krepl	cripple
kriss	crisis
krises	crises
kritern	criterion
kritra&'	criteria
kr^a	critic
kretss	criticism
kretss	criticize
kretsss	criticizes
kr^as	critics
krosha	crochet
krokdil	crocodile
krokus	crocus
krp	crop
kroka	croquet
kroshe~	crosier
kros	cross
krost	crossed
kross	crosses
krosrod	crossroad
krauch	crouch
krau	crowd
krau^t	crowded
kraus	crowds
krn	crown
	
# Page 46 Column 3	
kronet	coronet
krnd	crowned
krsh	crucial
krsb	crucible
krsfex	crucifix
krsfexsh	crucifixion
krsf	crucify
krud	crude
krude	crudely
krudte	crudity
krul	cruel
krule	cruelly
kru^l	cruelty
krus	cruise
krusd	cruised
krusr	cruiser
kruss	cruises
krm	crumb
krmb	crumble
krumpl	crumple
krusad	crusade
krusade~	crusader
krch	crutch
krux	crux
krept	crypt
	
# Page 47 Column 1	
kreptek	cryptic
krept^g	cryptogram
krestl	crystal
krestlen	crystalline
krestlezash	crystallization
krestliz	crystallize
keub	cube
keubd	cubed
keubk	cubic
keub^k	cubical
kuku	cuckoo
keukmbr	cucumber
kjl	cudgel
ke_sen	cuisine
keulenre	culinary
klmnat	culminate
klmnatd	culminated
klmnsh	culmination
klpb	culpable
klp^b	culpability
klpret	culprit
esklpat	exculpate
n-klpat	inculpate
klt	cult
klvat	cultivate
	
# Page 47 Column 2	
klvatd	cultivated
klvats	cultivates
klvash	cultivation
klvate~	cultivator
n-klvatd	uncultivated
kltr	culture
kltrl	cultural
kltr^t	cultured
n-klr^t	uncultured
klve~t	culvert
kmbrus	cumbrous
kmbrsm	cumbersome
n-kmbr	encumber
n-kmbrans	encumbrance
nn-kmbr^t	unencumbered
keum^uv	cumulative
akeum^u	accumulate
keunefm	cuneiform
kn'	cunning
kube~d	cupboard
kupf	cupful
keupdte	cupidity
keupla	cupola
keura	curate
keura^r	curator
	
# Page 47 Column 3	
krb	curb
ke~d	curd
keu	cure
keub	curable
keutv	curative
keus	cures
n-keub	incurable
krfeu	curfew
keu	curious
keu^s	curiosity
keuse	curiously
krl	curl
krle	curly
krant	currant
krense	currency
krent	current
kurek	curriculum
kureka	curricula
kurs	curse
krsv	cursive
krsre	cursory
ke~tal	curtail
ke~tn	curtain
krv	curve
krvtr	curvature
	
# Page 48 Column 1	
krvd	curved
kush	cushion
kushd	cushioned
kuspdr	cuspidor
kusta~d	custard
kustde	custody
kustda&'n	custodian
kus	custom
akus^t	accustomed
kusre	customary
kusr	customer
kus'us	customhouse
	
# Page 48 Column 2	
kus-s	customs
keutnus	cutaneous
keut^k	cuticle
skeutnus	subcutaneous
kutlre	cutlery
kutle	cutlet
sikl	cycle
siklon	cyclone
siklopda&'	cyclopedia
siklopdek	cyclopedic
nsiklopda&'	encyclopedia
selend	cylinder
	
# Page 48 Column 3	
selend^k	cylindrical
sembl	cymbal
senek	cynic
sen^ke	cynically
senss	cynicism
sinshu	cynosure
sst	cyst
sstoe	cystoid
zar	czar
zarena	czarina
zar-sm	czarism
chek	Czech
